Handle,REF,Nombre,Categoria,Precio [tacosaragon-avenidamanuel],ITEM_ID,ITEM_ID,VARIANT_ID
agua,10036,Agua,Bebidas,0,d36b9bdd-9b3c-4101-9e8b-9623c9a62ee0,d36b9bdd-9b3c-4101-9e8b-9623c9a62ee0,370845d7-f0f0-4cc6-990b-79db72efcfa5
agua-litro,10005,Agua cebada Litro,Bebidas,29,877e394e-1fb1-40b9-a246-b8b5b82d098f,877e394e-1fb1-40b9-a246-b8b5b82d098f,520e60e1-cf7e-496e-b9c0-f8fdc0ac4a6f
agua-medio,10006,Agua cebada medio,Bebidas,20,d2ba0920-38b5-44ba-8a36-8ddd7ddd8a53,d2ba0920-38b5-44ba-8a36-8ddd7ddd8a53,6bf966e3-35be-4495-be55-d442109c097d
horchata-de-coco-litro,10082,Agua Horchata Litro,Bebidas,29,25366adb-49ce-44ba-9a5b-de9b46a17380,25366adb-49ce-44ba-9a5b-de9b46a17380,7d054829-d1e3-4c7f-8442-5f62df5ede0c
horchata-medio,10097,Agua Horchata Medio,Bebidas,20,ba78c566-b342-4f0f-876a-3c99f041f13f,ba78c566-b342-4f0f-876a-3c99f041f13f,6083e819-0c0d-48f9-9cd8-943fb47393b2
agua-jamaica-litro,10024,Agua Jamaica litro,Bebidas,29,96ee8feb-1fa0-455a-8948-1d020cca9ea9,96ee8feb-1fa0-455a-8948-1d020cca9ea9,8d7e43bd-3a42-471e-bc69-e26fab2740d1
agua-jamaica-medio,10025,Agua Jamaica medio,Bebidas,20,5511e70c-1eea-45b8-85f3-c05c33453eca,5511e70c-1eea-45b8-85f3-c05c33453eca,88d5993a-32f9-428f-aa83-1b5ef163ddcf
aluminio,10044,aluminio,,variable,c21a3ad8-3416-48ec-8086-cc222001baae,c21a3ad8-3416-48ec-8086-cc222001baae,4f5241e4-7dd1-4d5b-b67a-0b7032675e80
pick,10075,Cambio,,variable,9bf3cb48-f0db-48e2-9ae7-ebf1ac7f43cd,9bf3cb48-f0db-48e2-9ae7-ebf1ac7f43cd,b7d39a63-d5dc-453b-9451-f845288c589b
carne-de-res,10032,carne de res,,variable,3fec24c2-b2ae-49a3-b6a1-0752222d02b5,3fec24c2-b2ae-49a3-b6a1-0752222d02b5,364958fd-e29d-4331-b4eb-b742d7d4737a
cebada,10042,cebada,,variable,2d6ad032-9a7d-4781-9e02-e2f1f30bc8a2,2d6ad032-9a7d-4781-9e02-e2f1f30bc8a2,6fdce502-a62d-4dbf-8f3c-2e583d91183b
cebolla-blanca,10041,Cebolla Blanca,,variable,3d586f81-c5c4-4b7d-943a-02cb34dc34ac,3d586f81-c5c4-4b7d-943a-02cb34dc34ac,6d25660a-2dcf-4d2a-bcf0-d128486ec2c2
cebolla-morada,10037,cebolla morada,,variable,b41c9e41-61dc-4604-9118-88bc56766861,b41c9e41-61dc-4604-9118-88bc56766861,a687de78-28b2-4eda-ba02-f6331549b0ea
chile-habanero,10040,Chile Habanero,,variable,3b3a7c2f-0149-4d5f-9459-d44ce7deac6a,3b3a7c2f-0149-4d5f-9459-d44ce7deac6a,6b36a29f-eac4-44e0-aaa3-24a6bedf841e
chile-jalapeño,10038,Chile Jalapeño,,variable,2253f37a-8e81-4154-b687-bd4de91bb7b4,2253f37a-8e81-4154-b687-bd4de91bb7b4,3b3bb148-096d-401b-8bc0-de14424695fa
coca-cola-zero,10052,Coca Cola Zero,,variable,452fa4ce-e1de-47dc-8319-da0575bbfd13,452fa4ce-e1de-47dc-8319-da0575bbfd13,7636cd96-e8d4-46b4-82c1-2de7aae5bbdb
coca-cola-sin-azúcar,10100,Coca-Cola sin azúcar,Bebidas,35,bc93574e-04a0-4169-afea-b1e6036688b3,bc93574e-04a0-4169-afea-b1e6036688b3,7009145b-e825-4a79-8c8b-dd823e0bb446
coca-600,10008,CocaCola,Bebidas,35,965d6362-82c7-416e-b7a6-7652a46bcc8f,965d6362-82c7-416e-b7a6-7652a46bcc8f,34e5bef1-2df9-4e99-b21e-04a20cb64017
combo-octubre,10049,Combo del amor,Alimentos,89,37b8b1d3-17ed-41c6-9603-5565e08f8fe1,37b8b1d3-17ed-41c6-9603-5565e08f8fe1,8e15f1b9-8964-41b6-abb9-92c3fa34fb20
combo-del-mes-1,10071,combo del mes,Alimentos,109,5b52950c-e4e4-40c1-a3b0-d82f724af5b1,5b52950c-e4e4-40c1-a3b0-d82f724af5b1,fcd649e8-9c89-493a-ab6c-cced220ff87b
combo-familiar,10068,Combo familiar,Alimentos,319,4e969bad-c42c-4a60-b540-4e943049c6c1,4e969bad-c42c-4a60-b540-4e943049c6c1,db2bd922-3a69-4a7a-8ebf-2b19dfbf2f77
combo-finde,10057,Combo finde,Alimentos,119,5c91ba95-9f57-46bb-92c1-e663f0700300,5c91ba95-9f57-46bb-92c1-e663f0700300,37b26b6d-a883-41fb-ac6d-676400c915e2
combo-harinita,10058,Combo harinita,Alimentos,99,19d74465-4fd7-4cb7-9b8a-b7e146a7e296,19d74465-4fd7-4cb7-9b8a-b7e146a7e296,86a21b91-00b1-4dc4-a404-1d2a02333fad
combo-jueves,10056,Combo jueves,Alimentos,109,92abef76-f3d0-4687-895b-363091f7aea3,92abef76-f3d0-4687-895b-363091f7aea3,4660aded-b525-4178-9f2d-2730092bf966
combo-martes,10107,Combo miércoles,Alimentos,109,28a69f62-07d4-4bba-993e-4a687917035f,28a69f62-07d4-4bba-993e-4a687917035f,6cf330f9-54a0-4ac9-843d-35f2ee388471
combo-mini,10162,Combo mini,Alimentos,89,d3cca0ef-7060-45ca-a408-1de09d22fbab,d3cca0ef-7060-45ca-a408-1de09d22fbab,72ac4122-bf23-4c6f-a047-6a6f1199fc88
combo-pequeñín,10053,Combo pequeñín,Alimentos,79,e26cc121-2921-4c0b-92a3-5a82b29f075f,e26cc121-2921-4c0b-92a3-5a82b29f075f,3265cebf-af46-491d-a629-759b285828d1
combo-taculichin,10055,Combo Taculichin,Alimentos,69,769c7e6f-ef89-431f-8ae3-a2e4b0b309ad,769c7e6f-ef89-431f-8ae3-a2e4b0b309ad,8184f83b-2165-49da-b197-0692084ae8f4
combo-taquitos,10177,Combo taquitos,Alimentos,69,879ec53c-bbc5-45c3-b470-4b4dcd544c2b,879ec53c-bbc5-45c3-b470-4b4dcd544c2b,40acfe14-bfa3-472c-9915-18ef402c621d
domicilio,10002,Domicilio,,variable,f9a07f95-c2e6-4395-8f77-9627cc7373ae,f9a07f95-c2e6-4395-8f77-9627cc7373ae,dd765543-bb5e-4cc5-af50-54d9d5a5b389
domicilio-1,10010,Domicilio 1,,15,8a9d65ca-6d28-4984-9257-2cde81a1e350,8a9d65ca-6d28-4984-9257-2cde81a1e350,17417bf9-01a1-4037-91ed-cbbe4002cf8d
domicilio-0,10175,Domicilio 10,,10,8e095f8b-6b8b-478c-b55e-a9c099c5efe3,8e095f8b-6b8b-478c-b55e-a9c099c5efe3,fbfaf445-94fa-48ca-8ef1-873f9e2066f2
domicilio-2,10011,Domicilio 2,,20,13f55b59-3301-414b-8902-c86fa238ddcf,13f55b59-3301-414b-8902-c86fa238ddcf,90803063-e03e-41a8-9dac-bbc36861359b
domicilio-4,10101,Domicilio 3,,25,c0133f64-3c36-474d-8da2-415a042b6625,c0133f64-3c36-474d-8da2-415a042b6625,de27a639-da6b-4957-8dc1-13d49609e048
domicilio-3,10050,Domicilio 4,Dom con tarjeta,30,2691479d-8d8d-44c2-957b-61a24c7ea5d0,2691479d-8d8d-44c2-957b-61a24c7ea5d0,aeba87fd-c949-4dd9-9064-5f45aa3eac11
domicilio-5,10102,Domicilio 5,,35,e2df97cf-3ffc-4ab8-a2bf-16a84b4d1509,e2df97cf-3ffc-4ab8-a2bf-16a84b4d1509,4b0e2204-4afa-43fb-8cf6-a2b1e3163b4c
extra,10120,Extra,Alimentos,0,67846773-61d4-4d54-8ae8-b8b1a59d0f63,67846773-61d4-4d54-8ae8-b8b1a59d0f63,f997c3d0-38b5-4a9a-b8a1-f611a09457fe
extra-cebolla,10048,Extra Cebollita,Alimentos,0,a894039b-4ee6-4a77-a155-7b1a9d18f8ae,a894039b-4ee6-4a77-a155-7b1a9d18f8ae,d71c16bb-482e-4f1a-a58a-18953b9e3bba
extra-de-jugo-de-tomate,10178,Extra de jugo de tomate,Alimentos,0,9348a706-ee42-4aa8-978e-ca1ca6c7c558,9348a706-ee42-4aa8-978e-ca1ca6c7c558,46949f72-e09c-428d-9d6d-5fbd9d7ddcb5
